Category: All categories

Week,RealBreakingNate: (United States)
2023-01-01,100
2023-01-08,82
2023-01-15,100
2023-01-22,75
2023-01-29,67
2023-02-05,74
2023-02-12,64
2023-02-19,61
2023-02-26,64
2023-03-05,49
2023-03-12,74
2023-03-19,68
2023-03-26,62
2023-04-02,77
2023-04-09,54
2023-04-16,60
2023-04-23,52
2023-04-30,66
2023-05-07,53
2023-05-14,55
2023-05-21,57
2023-05-28,65
2023-06-04,54
2023-06-11,51
2023-06-18,66
2023-06-25,63
2023-07-02,50
2023-07-09,55
2023-07-16,47
2023-07-23,50
2023-07-30,56
2023-08-06,57
2023-08-13,56
2023-08-20,59
2023-08-27,49
2023-09-03,44
2023-09-10,61
2023-09-17,60
2023-09-24,74
2023-10-01,35
2023-10-08,42
2023-10-15,37
2023-10-22,38
2023-10-29,43
2023-11-05,53
2023-11-12,60
2023-11-19,55
2023-11-26,61
2023-12-03,50
2023-12-10,59
2023-12-17,65
2023-12-24,53
2023-12-31,55
2024-01-07,61
2024-01-14,49
2024-01-21,53
2024-01-28,49
2024-02-04,35
2024-02-11,54
2024-02-18,62
2024-02-25,44
2024-03-03,45
2024-03-10,48
2024-03-17,63
2024-03-24,36
2024-03-31,39
2024-04-07,30
2024-04-14,45
2024-04-21,40
2024-04-28,38
2024-05-05,35
2024-05-12,43
2024-05-19,49
2024-05-26,45
2024-06-02,59
2024-06-09,71
2024-06-16,47
2024-06-23,46
2024-06-30,49
2024-07-07,49
2024-07-14,38
2024-07-21,54
2024-07-28,52
2024-08-04,31
2024-08-11,37
2024-08-18,42
2024-08-25,28
2024-09-01,50
2024-09-08,32
2024-09-15,50
2024-09-22,45
2024-09-29,35
2024-10-06,33
2024-10-13,29
2024-10-20,44
2024-10-27,27
2024-11-03,40
2024-11-10,45
2024-11-17,45
2024-11-24,51
2024-12-01,39
2024-12-08,44
2024-12-15,32
2024-12-22,35
2024-12-29,44
2025-01-05,44
2025-01-12,44
2025-01-19,40
2025-01-26,29
2025-02-02,39
2025-02-09,50
2025-02-16,42
2025-02-23,45
2025-03-02,34
2025-03-09,43
2025-03-16,43
2025-03-23,43
2025-03-30,46
