Category: All categories

Week,UnlistedLeaf: (United States)
2023-01-01,92
2023-01-08,85
2023-01-15,77
2023-01-22,100
2023-01-29,87
2023-02-05,87
2023-02-12,85
2023-02-19,96
2023-02-26,58
2023-03-05,59
2023-03-12,62
2023-03-19,57
2023-03-26,62
2023-04-02,75
2023-04-09,67
2023-04-16,72
2023-04-23,63
2023-04-30,58
2023-05-07,59
2023-05-14,55
2023-05-21,53
2023-05-28,55
2023-06-04,57
2023-06-11,61
2023-06-18,62
2023-06-25,70
2023-07-02,64
2023-07-09,58
2023-07-16,50
2023-07-23,47
2023-07-30,52
2023-08-06,50
2023-08-13,49
2023-08-20,43
2023-08-27,47
2023-09-03,44
2023-09-10,44
2023-09-17,40
2023-09-24,38
2023-10-01,40
2023-10-08,51
2023-10-15,30
2023-10-22,29
2023-10-29,38
2023-11-05,40
2023-11-12,35
2023-11-19,52
2023-11-26,46
2023-12-03,32
2023-12-10,39
2023-12-17,31
2023-12-24,45
2023-12-31,42
2024-01-07,36
2024-01-14,46
2024-01-21,36
2024-01-28,42
2024-02-04,51
2024-02-11,39
2024-02-18,30
2024-02-25,46
2024-03-03,40
2024-03-10,41
2024-03-17,39
2024-03-24,41
2024-03-31,34
2024-04-07,38
2024-04-14,34
2024-04-21,43
2024-04-28,37
2024-05-05,38
2024-05-12,35
2024-05-19,46
2024-05-26,45
2024-06-02,49
2024-06-09,39
2024-06-16,37
2024-06-23,37
2024-06-30,30
2024-07-07,42
2024-07-14,31
2024-07-21,31
2024-07-28,30
2024-08-04,30
2024-08-11,38
2024-08-18,35
2024-08-25,42
2024-09-01,32
2024-09-08,34
2024-09-15,34
2024-09-22,38
2024-09-29,42
2024-10-06,37
2024-10-13,35
2024-10-20,34
2024-10-27,30
2024-11-03,40
2024-11-10,49
2024-11-17,41
2024-11-24,49
2024-12-01,41
2024-12-08,37
2024-12-15,32
2024-12-22,39
2024-12-29,34
2025-01-05,45
2025-01-12,52
2025-01-19,40
2025-01-26,57
2025-02-02,32
2025-02-09,47
2025-02-16,45
2025-02-23,41
2025-03-02,42
2025-03-09,44
2025-03-16,37
2025-03-23,44
2025-03-30,43
