Category: All categories

Region,pokemon cards: (1/1/23 - 4/5/25)
Hawaii,100
Utah,83
California,76
Idaho,76
Kentucky,74
West Virginia,73
Oregon,73
Nevada,73
Alaska,72
Iowa,70
Arizona,70
Indiana,69
Minnesota,69
Washington,68
New Mexico,68
North Dakota,67
Kansas,66
Texas,66
Ohio,65
Wisconsin,65
Illinois,64
Michigan,63
Pennsylvania,63
Colorado,62
Missouri,62
Nebraska,62
North Carolina,61
Oklahoma,61
Tennessee,61
Rhode Island,60
Arkansas,59
Massachusetts,58
New Hampshire,57
South Dakota,57
Vermont,57
Connecticut,56
South Carolina,56
Maine,55
Virginia,55
New Jersey,55
Maryland,54
Florida,53
Wyoming,52
New York,52
Alabama,52
Delaware,51
Georgia,51
Montana,49
Louisiana,45
Mississippi,40
District of Columbia,30
