Category: All categories

Week,pokemon cards: (United States)
2023-01-01,51
2023-01-08,51
2023-01-15,53
2023-01-22,51
2023-01-29,51
2023-02-05,49
2023-02-12,42
2023-02-19,44
2023-02-26,47
2023-03-05,41
2023-03-12,43
2023-03-19,43
2023-03-26,42
2023-04-02,44
2023-04-09,38
2023-04-16,37
2023-04-23,40
2023-04-30,40
2023-05-07,36
2023-05-14,35
2023-05-21,35
2023-05-28,36
2023-06-04,33
2023-06-11,35
2023-06-18,33
2023-06-25,34
2023-07-02,34
2023-07-09,33
2023-07-16,31
2023-07-23,29
2023-07-30,31
2023-08-06,32
2023-08-13,32
2023-08-20,29
2023-08-27,29
2023-09-03,28
2023-09-10,35
2023-09-17,41
2023-09-24,44
2023-10-01,42
2023-10-08,40
2023-10-15,40
2023-10-22,36
2023-10-29,44
2023-11-05,38
2023-11-12,39
2023-11-19,49
2023-11-26,41
2023-12-03,39
2023-12-10,43
2023-12-17,44
2023-12-24,48
2023-12-31,35
2024-01-07,31
2024-01-14,32
2024-01-21,30
2024-01-28,31
2024-02-04,32
2024-02-11,27
2024-02-18,28
2024-02-25,29
2024-03-03,29
2024-03-10,28
2024-03-17,27
2024-03-24,29
2024-03-31,29
2024-04-07,26
2024-04-14,27
2024-04-21,28
2024-04-28,27
2024-05-05,28
2024-05-12,28
2024-05-19,29
2024-05-26,30
2024-06-02,30
2024-06-09,27
2024-06-16,30
2024-06-23,28
2024-06-30,30
2024-07-07,29
2024-07-14,29
2024-07-21,29
2024-07-28,29
2024-08-04,28
2024-08-11,31
2024-08-18,32
2024-08-25,31
2024-09-01,35
2024-09-08,32
2024-09-15,34
2024-09-22,33
2024-09-29,34
2024-10-06,36
2024-10-13,40
2024-10-20,44
2024-10-27,48
2024-11-03,57
2024-11-10,63
2024-11-17,68
2024-11-24,85
2024-12-01,72
2024-12-08,70
2024-12-15,76
2024-12-22,85
2024-12-29,78
2025-01-05,70
2025-01-12,77
2025-01-19,94
2025-01-26,100
2025-02-02,93
2025-02-09,93
2025-02-16,91
2025-02-23,90
2025-03-02,89
2025-03-09,88
2025-03-16,87
2025-03-23,90
2025-03-30,85
