Category: All categories

Week,Pokémon Trading Card Game Pocket: (United States)
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
2024-01-14,0
2024-01-21,0
2024-01-28,0
2024-02-04,0
2024-02-11,0
2024-02-18,0
2024-02-25,1
2024-03-03,1
2024-03-10,1
2024-03-17,0
2024-03-24,1
2024-03-31,0
2024-04-07,0
2024-04-14,1
2024-04-21,0
2024-04-28,1
2024-05-05,<1
2024-05-12,<1
2024-05-19,0
2024-05-26,0
2024-06-02,0
2024-06-09,0
2024-06-16,0
2024-06-23,0
2024-06-30,<1
2024-07-07,1
2024-07-14,0
2024-07-21,0
2024-07-28,<1
2024-08-04,1
2024-08-11,1
2024-08-18,4
2024-08-25,2
2024-09-01,1
2024-09-08,1
2024-09-15,4
2024-09-22,11
2024-09-29,7
2024-10-06,3
2024-10-13,3
2024-10-20,4
2024-10-27,12
2024-11-03,11
2024-11-10,26
2024-11-17,52
2024-11-24,58
2024-12-01,52
2024-12-08,56
2024-12-15,79
2024-12-22,51
2024-12-29,47
2025-01-05,43
2025-01-12,38
2025-01-19,59
2025-01-26,100
2025-02-02,62
2025-02-09,42
2025-02-16,44
2025-02-23,57
2025-03-02,55
2025-03-09,38
2025-03-16,41
2025-03-23,67
2025-03-30,71
